epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.2917,0.8285,3.14716,1.08024,0.24127,0.39884,0.22739,0.18716,0.80931,2.15543,0.98036,0.00017454,0.00017454,0.00017454
2,59.5505,0.73736,2.20353,1.0194,0.37179,0.38653,0.32264,0.26191,0.79867,1.83318,0.96368,0.000342946,0.000342946,0.000342946
3,85.6977,0.73231,1.89365,1.00915,0.51696,0.4308,0.46415,0.37616,0.82979,1.5743,0.98745,0.000504408,0.000504408,0.000504408
4,111.639,0.70822,1.65468,0.99236,0.71525,0.51718,0.61819,0.51567,0.76629,1.40064,0.9344,0.000494756,0.000494756,0.000494756
5,137.74,0.68726,1.45808,0.97719,0.69206,0.58266,0.64274,0.53582,0.75235,1.14055,0.92937,0.000484341,0.000484341,0.000484341
6,164.044,0.6688,1.31552,0.97335,0.7498,0.62556,0.71704,0.59978,0.7536,0.96244,0.92444,0.000473926,0.000473926,0.000473926
7,189.95,0.66403,1.22133,0.97614,0.76059,0.64707,0.72553,0.61388,0.72805,0.9197,0.92666,0.000463511,0.000463511,0.000463511
8,216.253,0.65867,1.16264,0.97556,0.83964,0.63792,0.75058,0.63483,0.70309,0.91046,0.90374,0.000453096,0.000453096,0.000453096
9,242.156,0.63897,1.08484,0.96135,0.87825,0.66203,0.77818,0.65613,0.73746,0.81973,0.91708,0.000442682,0.000442682,0.000442682
10,268.086,0.61806,1.00543,0.95125,0.88352,0.67055,0.78454,0.66407,0.71442,0.78426,0.90915,0.000432267,0.000432267,0.000432267
11,293.879,0.61945,0.96986,0.9522,0.87838,0.66972,0.77523,0.65015,0.6949,0.77631,0.89964,0.000421852,0.000421852,0.000421852
12,319.491,0.6196,0.93745,0.95122,0.91171,0.7091,0.805,0.67721,0.70944,0.68053,0.90275,0.000411437,0.000411437,0.000411437
13,345.197,0.61076,0.90799,0.95028,0.81707,0.71177,0.79515,0.67128,0.6925,0.69533,0.89252,0.000401022,0.000401022,0.000401022
14,371.097,0.59446,0.85632,0.94205,0.88685,0.71687,0.82071,0.69684,0.68391,0.64853,0.8992,0.000390608,0.000390608,0.000390608
15,396.926,0.59924,0.85269,0.94429,0.89907,0.70864,0.82163,0.69686,0.69699,0.64737,0.89676,0.000380193,0.000380193,0.000380193
16,422.925,0.60118,0.84997,0.94588,0.92238,0.71148,0.82559,0.70306,0.67889,0.61262,0.89188,0.000369778,0.000369778,0.000369778
17,448.748,0.58151,0.81999,0.93889,0.88095,0.73506,0.82916,0.70579,0.67156,0.60622,0.89398,0.000359363,0.000359363,0.000359363
18,474.757,0.57877,0.78738,0.93837,0.83074,0.81935,0.86245,0.72199,0.68081,0.58859,0.89329,0.000348948,0.000348948,0.000348948
19,500.686,0.57764,0.77732,0.93598,0.93289,0.72186,0.84814,0.71985,0.66424,0.57443,0.87868,0.000338534,0.000338534,0.000338534
20,526.824,0.57347,0.75331,0.93521,0.92418,0.73063,0.84695,0.71744,0.68438,0.55845,0.89646,0.000328119,0.000328119,0.000328119
21,552.777,0.59121,0.75192,0.93787,0.87875,0.7439,0.85152,0.71926,0.67826,0.57085,0.89098,0.000317704,0.000317704,0.000317704
22,578.597,0.56527,0.72902,0.92678,0.80441,0.81412,0.84404,0.71632,0.65875,0.52432,0.87914,0.000307289,0.000307289,0.000307289
